epoch,train_loss,val_loss
1,1.57524071458508,0.5591226816177368
2,0.37708451379747954,0.31424635648727417
3,0.23145159027155707,0.24826774994532266
4,0.18096919752219143,0.161321222782135
5,0.11984886185211294,0.10695891578992207
6,0.0769519496928243,0.09775148828824361
7,0.057907386299441845,0.0510882114370664
8,0.028293655418297824,0.027257900685071945
9,0.025099243448280236,0.018469884370764095
10,0.017667149138801238,0.020997499426205952
11,0.018541287302094346,0.013693005312234163
12,0.015462279210195821,0.009575199956695238
13,0.012731932541903327,0.01198433890628318
14,0.01230613049119711,0.009912155801430345
15,0.012189332834061454,0.008938288316130638
16,0.010431409156059517,0.0104058973180751
17,0.011969323763075997,0.011570830829441547
18,0.012670258238144657,0.009043689041088024
19,0.01098609737613622,0.008042566323031982
20,0.010362930513699265,0.011408776665727297
